event,fighter1,fighter2,gender,weight_class,title_fight,winner,method_of_winning,number_of_rounds,round_won,time_won,fight_url
UFC Fight Night: Covington vs. Buckley,Colby Covington,Joaquin Buckley,M,Welterweight,NULL,Joaquin Buckley,TKO - Doctor's Stoppage,5,3,4:42,http://ufcstats.com/fight-details/00c6a2ef07ca51da
UFC Fight Night: Covington vs. Buckley,Cub Swanson,Billy Quarantillo,M,Featherweight,NULL,Cub Swanson,KO/TKO,3,3,1:36,http://ufcstats.com/fight-details/7521015554088962
UFC Fight Night: Covington vs. Buckley,Manel Kape,Bruno Silva,M,Flyweight,NULL,Manel Kape,KO/TKO,3,3,1:57,http://ufcstats.com/fight-details/1a635a5e4551e7d5
UFC Fight Night: Covington vs. Buckley,Vitor Petrino,Dustin Jacoby,M,Heavyweight,NULL,Dustin Jacoby,KO/TKO,3,3,3:44,http://ufcstats.com/fight-details/7b1bc4ff776f12c1
UFC Fight Night: Covington vs. Buckley,Adrian Yanez,Daniel Marcos,M,Bantamweight,NULL,Daniel Marcos,Decision,3,3,5:00,http://ufcstats.com/fight-details/5238f6470d0557fb
UFC Fight Night: Covington vs. Buckley,Navajo Stirling,Tuco Tokkos,M,Heavyweight,NULL,Navajo Stirling,Decision,3,3,5:00,http://ufcstats.com/fight-details/2b6a75175bbca4e9
UFC Fight Night: Covington vs. Buckley,Michael Johnson,Ottman Azaitar,M,Lightweight,NULL,Michael Johnson,KO/TKO,3,2,2:03,http://ufcstats.com/fight-details/9c24c03131d5b49a
UFC Fight Night: Covington vs. Buckley,Joel Alvarez,Drakkar Klose,M,Lightweight,NULL,Joel Alvarez,KO/TKO,3,1,2:48,http://ufcstats.com/fight-details/b0be38110c2d8b84
UFC Fight Night: Covington vs. Buckley,Sean Woodson,Fernando Padilla,M,Featherweight,NULL,Sean Woodson,KO/TKO,3,1,4:58,http://ufcstats.com/fight-details/ebeeed2595266bbc
UFC Fight Night: Covington vs. Buckley,Miles Johns,Felipe Lima,M,Featherweight,NULL,Felipe Lima,Decision,3,3,5:00,http://ufcstats.com/fight-details/cf258c17234d649e
