first_name,last_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,f_losses,f_draws,f_dc_nc,fighter_url
Roger,Narvaez,190.5,185,NULL,Southpaw,1983-09-09,8,3,0,0,http://www.ufcstats.com/fighter-details/3a12a2f096a6d975
Derek,Downey,185.42,185,NULL,Orthodox,1980-04-27,11,4,0,0,http://www.ufcstats.com/fighter-details/b05086131c6f5dc5
Ryan,MacDonald,180.34,135,180.34,Switch,1993-03-18,10,2,0,0,http://www.ufcstats.com/fighter-details/35e1f9984ed64206
Brok,Weaver,182.88,155,185.42,Southpaw,1991-12-05,15,6,0,0,http://www.ufcstats.com/fighter-details/7c9f96f9a6a5cd50
Jeimeson,Saudino,167.64000000000001,135,NULL,NULL,1991-03-05,8,5,0,0,http://www.ufcstats.com/fighter-details/f6f9d41669dd3eaa
Bec,Rawlings,167.64000000000001,125,162.56,Orthodox,1989-02-11,7,8,0,0,http://www.ufcstats.com/fighter-details/907e60fd13407e1e
Derrick,Lewis,190.5,260,200.66,Orthodox,1985-02-07,28,12,0,1,http://www.ufcstats.com/fighter-details/d3df1add9d9a7efb
Montserrat,Ruiz,152.4,115,154.94,Southpaw,1993-02-03,10,4,0,0,http://www.ufcstats.com/fighter-details/1235b31de15d0c6e
Dakota,Bush,177.8,155,185.42,Orthodox,1994-06-09,8,4,0,0,http://www.ufcstats.com/fighter-details/3033c1c080672475
Thomas,Longacre,175.26,145,NULL,Orthodox,NULL,6,1,0,0,http://www.ufcstats.com/fighter-details/989be26791d0aad4
Alex,Oliveira,180.34,170,193.04,Orthodox,1988-02-21,22,12,1,2,http://www.ufcstats.com/fighter-details/57b10fca4f9c9a7a
Jeremy,Horn,185.42,185,187.96,Orthodox,1975-08-25,91,22,5,1,http://www.ufcstats.com/fighter-details/8d26912cd2aeb366
TJ,Brown,175.26,145,182.88,Switch,1990-05-22,17,11,0,0,http://www.ufcstats.com/fighter-details/d31cbcdd7d69536d
Raul,Castillo,180.34,185,NULL,Orthodox,NULL,7,1,0,0,http://www.ufcstats.com/fighter-details/feeae92f951f49a9
Matt,Frevola,175.26,155,180.34,Orthodox,1990-06-11,11,5,1,0,http://www.ufcstats.com/fighter-details/dccb63727f2f5f74
Shane,Burgos,180.34,145,190.5,Orthodox,1991-03-19,15,3,0,0,http://www.ufcstats.com/fighter-details/98d961097baaf308
Roger,Hollett,180.34,205,NULL,Orthodox,1978-10-08,13,5,0,0,http://www.ufcstats.com/fighter-details/27d65e9d0fba61ea
Sarah,Payant,162.56,115,NULL,NULL,NULL,1,4,0,0,http://www.ufcstats.com/fighter-details/748d4e35f846a029
Gideon,Ray,177.8,185,NULL,Southpaw,1973-05-27,17,15,1,NULL,http://www.ufcstats.com/fighter-details/ea3ef6206c7907d5
Rachael,Ostovich,160.02,125,157.48,Orthodox,1991-02-25,4,6,0,NULL,http://www.ufcstats.com/fighter-details/01784fbc27c68b14
Frank,Shamrock,177.8,185,NULL,Orthodox,1972-12-08,23,10,2,NULL,http://www.ufcstats.com/fighter-details/fcaae0385b514f11
Mark,Kerr,190.5,266,NULL,Switch,1968-12-21,15,11,0,1,http://www.ufcstats.com/fighter-details/a7b48e18ca27795d
Marc,Diakiese,177.8,155,185.42,Orthodox,1993-03-16,17,7,0,NULL,http://www.ufcstats.com/fighter-details/32c355b04fc57f3a
Eryk,Anders,185.42,185,190.5,Southpaw,1987-04-21,17,8,0,1,http://www.ufcstats.com/fighter-details/cad24459b28592ca
Ricardo,Romero,182.88,205,193.04,Orthodox,1978-04-15,11,3,0,NULL,http://www.ufcstats.com/fighter-details/744e098e065cfdbe
Uran,Satybaldiev,NULL,205,NULL,NULL,NULL,7,1,0,NULL,http://www.ufcstats.com/fighter-details/02f484417a6fa69d
Hidetaka,Monma,182.88,168,NULL,Orthodox,1973-10-23,18,11,4,NULL,http://www.ufcstats.com/fighter-details/a8e133139286df84
Vinicius,Queiroz,200.66,220,NULL,Orthodox,1983-08-29,8,4,0,NULL,http://www.ufcstats.com/fighter-details/2a8502954f49e682
Jessin,Ayari,182.88,155,185.42,Orthodox,1992-05-31,16,6,0,NULL,http://www.ufcstats.com/fighter-details/6eaec40f724852f4
Claudio,Mattos,NULL,185,NULL,Orthodox,NULL,5,4,0,NULL,http://www.ufcstats.com/fighter-details/6e2b1d631832921d
Jaimelene,Nievera,165.1,125,NULL,Orthodox,1984-10-28,7,4,0,NULL,http://www.ufcstats.com/fighter-details/3edf45e1717fa764
Nick,Agallar,172.72,155,NULL,Orthodox,1979-01-13,24,6,0,NULL,http://www.ufcstats.com/fighter-details/ebc5af72ad5a28cb
Jong,Kim,170.18,139,NULL,Orthodox,NULL,0,1,0,NULL,http://www.ufcstats.com/fighter-details/9e0f28d1f639ad73
Joe,Moreira,180.34,195,NULL,Southpaw,NULL,2,2,0,NULL,http://www.ufcstats.com/fighter-details/df85d6ec3493d120
Ryan,Bastianelli,165.1,135,NULL,NULL,NULL,6,7,0,1,http://www.ufcstats.com/fighter-details/29508aff4d93cbbe
