Rank,Name
1,Islam Makhachev
2,Jon Jones
3,Alex Pereira
4,Ilia Topuria
5,Merab Dvalishvili
6,Belal Muhammad
7,Dricus Du Plessis
8,Tom Aspinall
9,Alexandre Pantoja
10,Leon Edwards
11,Alexander Volkanovski
12,Max Holloway
13,Sean O'Malley
14,Sean Strickland
15,Charles Oliveira
16,Brandon Royval
17,Brandon Moreno
18,Amir Albazi
19,Kai Kara-France
20,Tatsuro Taira
21,Manel Kape
22,Alex Perez
23,Asu Almabayev
24,Steve Erceg
25,Tim Elliott
26,Tagir Ulanbekov
27,Charles Johnson
28,Bruno Silva
29,Kai Asakura
30,Joshua Van
31,Sean O'Malley
32,Petr Yan
33,Umar Nurmagomedov
34,Cory Sandhagen
35,Deiveson Figueiredo
36,Marlon Vera
37,Henry Cejudo
38,Song Yadong
39,Rob Font
40,Mario Bautista
41,José Aldo
42,Kyler Phillips
43,Aiemann Zahabi
44,Marcus McGhee
45,Montel Jackson
46,Alexander Volkanovski
47,Max Holloway
48,Diego Lopes
49,Movsar Evloev
50,Yair Rodriguez
51,Brian Ortega
52,Arnold Allen
53,Josh Emmett
54,Aljamain Sterling
55,Calvin Kattar
56,Lerone Murphy
57,Giga Chikadze
58,Bryce Mitchell
59,Dan Ige
60,Edson Barboza
61,Arman Tsarukyan
62,Charles Oliveira
63,Justin Gaethje
64,Dustin Poirier
65,Max Holloway
66,Dan Hooker
67,Michael Chandler
68,Mateusz Gamrot
69,Beneil Dariush
70,Renato Moicano
71,Rafael Fiziev
72,Paddy Pimblett
73,Jalin Turner
74,Benoît Saint Denis
75,Grant Dawson
76,Leon Edwards
77,Shavkat Rakhmonov
78,Kamaru Usman
79,Jack Della Maddalena
80,Sean Brady
81,Joaquin Buckley
82,Ian Machado Garry
83,Gilbert Burns
84,Colby Covington
85,Geoff Neal
86,Stephen Thompson
87,Michael Morales
88,Carlos Prates
89,Vicente Luque
90,Michael Page
91,Sean Strickland
92,Israel Adesanya
93,Khamzat Chimaev
94,Robert Whittaker
95,Nassourdine Imavov
96,Caio Borralho
97,Marvin Vettori
98,Jared Cannonier
99,Brendan Allen
100,Roman Dolidze
101,Paulo Costa
102,Anthony Hernandez
103,Jack Hermansson
104,Shara Magomedov
105,Michel Pereira
106,Magomed Ankalaev
107,Jiří Procházka
108,Jan Błachowicz
109,Jamahal Hill
110,Aleksandar Rakić
111,Carlos Ulberg
112,Khalil Rountree Jr.
113,Nikita Krylov
114,Volkan Oezdemir
115,Johnny Walker
116,Dominick Reyes
117,Azamat Murzakanov
118,Bogdan Guskov
119,Anthony Smith
120,Alonzo Menifield
121,Tom Aspinall
122,Ciryl Gane
123,Alexander Volkov
124,Sergei Pavlovich
125,Curtis Blaydes
126,Jailton Almeida
127,Serghei Spivac
128,Marcin Tybura
129,Jairzinho Rozenstruik
130,Derrick Lewis
131,Tai Tuivasa
132,Marcos Rogerio de Lima
133,Waldo Cortes Acosta
134,Shamil Gaziev
135,Mick Parkin
136,Valentina Shevchenko
137,Zhang Weili
138,Alexa Grasso
139,Julianna Peña
140,Manon Fiorot
141,Erin Blanchfield
142,Kayla Harrison
143,Rose Namajunas
144,Raquel Pennington
145,Tatiana Suarez
146,Yan Xiaonan
147,Virna Jandiroba
148,Jéssica Andrade
149,Natalia Silva
150,Maycee Barber
151,Tatiana Suarez
152,Yan Xiaonan
153,Virna Jandiroba
154,Jéssica Andrade
155,Amanda Lemos
156,Mackenzie Dern
157,Iasmin Lucindo
158,Amanda Ribas
159,Marina Rodriguez
160,Tabatha Ricci
161,Loopy Godinez
162,Gillian Robertson
163,Angela Hill
164,Luana Pinheiro
165,Tecia Pennington
166,Alexa Grasso
167,Manon Fiorot
168,Erin Blanchfield
169,Maycee Barber
170,Natalia Silva
171,Rose Namajunas
172,Jéssica Andrade
173,Katlyn Cerminara
174,Viviane Araújo
175,Amanda Ribas
176,Tracy Cortez
177,Jasmine Jasudavicius
178,Karine Silva
179,Ariane da Silva
180,Miranda Maverick
181,Raquel Pennington
182,Kayla Harrison
183,Ketlen Vieira
184,Norma Dumont
185,Macy Chiasson
186,Irene Aldana
187,Mayra Bueno Silva
188,Karol Rosa
189,Yana Santos
190,Miesha Tate
191,Ailin Perez
192,Julia Avila
193,Jacqueline Cavalcanti
194,Chelsea Chandler
195,Nora Cornolle
